Date,Description,Amount
2026-03-01,Salary Acme Corp,80000
2026-03-02,Spotify,-1099
2026-03-05,Swiggy Bangalore,-450
2026-03-08,Whole Foods,-3200
2026-03-12,Netflix,-1499
2026-03-15,Uber,-220
2026-03-18,Swiggy Bangalore,-380
2026-03-22,Jio Mobile,-29900
2026-03-25,Apple Store,-249900
2026-03-28,Coffee Day,-180
2026-04-01,Salary Acme Corp,80000
2026-04-02,Spotify,-1099
2026-04-04,Swiggy Bangalore,-520
2026-04-07,Whole Foods,-2800
2026-04-12,Netflix,-1499
2026-04-13,Swiggy Bangalore,-410
2026-04-15,Uber,-310
2026-04-18,Swiggy Bangalore,-460
2026-04-20,Coffee Day,-150
2026-04-22,Jio Mobile,-32000
2026-04-25,Swiggy Bangalore,-540
2026-04-26,Swiggy Bangalore,-380
2026-04-28,Coffee Day,-200
2026-04-29,Swiggy Bangalore,-440
2026-04-30,Coffee Day,-180
